latitude,longitude,canopy_gap,canopy_percent_of_goal,avg_transport_access
33.7,-118.95,0.05159999999999998,0.8279972400092,48.54507074704846
33.7,-118.92372822602972,0.05159999999999998,0.8279972400092,47.11890322979068
33.7,-118.89745645205942,0.05159999999999998,0.8279972400092,45.74715790545206
33.7,-118.87118467808912,0.05159999999999998,0.8279972400092,44.34744135591817
33.7,-118.84491290411884,0.05159999999999998,0.8279972400092,43.03462616487636
33.7,-118.81864113014854,0.05159999999999998,0.8279972400092,41.81413770332475
33.7,-118.79236935617824,0.05159999999999998,0.8279972400092,40.56230106033022
33.7,-118.76609758220796,0.05149999999999999,0.828330572231426,38.74260395852227
33.7,-118.73982580823764,0.05149999999999999,0.828330572231426,36.67670704085638
33.7,-118.71355403426736,0.05149999999999999,0.828330572231426,34.521463950759795
33.7,-118.68728226029708,0.05149999999999999,0.828330572231426,32.27685577644631
33.7,-118.66101048632676,0.05149999999999999,0.828330572231426,30.05756594658423
33.7,-118.63473871235648,0.05149999999999999,0.828330572231426,27.8684684370738
33.7,-118.6084669383862,0.05149999999999999,0.828330572231426,25.71567175255356
33.7,-118.5821951644159,0.05149999999999999,0.828330572231426,23.588590260782354
33.7,-118.5559233904456,0.05149999999999999,0.828330572231426,21.495406570001077
33.7,-118.5296516164753,0.05149999999999999,0.828330572231426,19.466410628327683
33.7,-118.503379842505,0.05149999999999999,0.828330572231426,17.522071151690085
33.7,-118.47710806853472,0.05149999999999999,0.828330572231426,15.695617407061585
33.7,-118.45083629456444,0.05149999999999999,0.828330572231426,14.033043779697758
